Index,suggestions,sortWeight,searchBy
362,"Gokak, Karnataka, India",413,location
363,"Gondia, Karnataka, India",413,location
364,"Gubbi, Karnataka, India",413,location
365,"Gudibanda, Karnataka, India",413,location
366,"Gulbarga / Kalaburagi, Karnataka, India",413,location
367,"Gulbarga, Karnataka, India",413,location
368,"Gundlupet, Karnataka, India",413,location
369,"Haliyal, Karnataka, India",413,location
370,"Hangal, Karnataka, India",413,location
371,"Harihar, Karnataka, India",413,location
372,"Harpanahalli, Karnataka, India",413,location
373,"Hassan, Karnataka, India",413,location
374,"Haveri, Karnataka, India",413,location
375,"Heggadadevana kote, Karnataka, India",413,location
376,"Hirekerur, Karnataka, India",413,location
377,"Hiriyur, Karnataka, India",413,location
378,"Holalkere, Karnataka, India",413,location
379,"Holenarsipur, Karnataka, India",413,location
380,"Homnabad, Karnataka, India",413,location
381,"Honnali, Karnataka, India",413,location
382,"Honnavar, Karnataka, India",413,location
383,"Hoovina Hadagalli, Karnataka, India",413,location
384,"Hosadurga, Karnataka, India",413,location
385,"Hosanagara, Karnataka, India",413,location
386,"Hosapete, Karnataka, India",413,location
387,"Hoskote, Karnataka, India",413,location
388,"Hukkeri, Karnataka, India",413,location
389,"Hungund, Karnataka, India",413,location
390,"Hunsur, Karnataka, India",413,location
391,"Indi, Karnataka, India",413,location
392,"Jagalur, Karnataka, India",413,location
393,"Jamkhandi, Karnataka, India",413,location
394,"Jevargi, Karnataka, India",413,location
395,"Joida, Karnataka, India",413,location
396,"Kadur, Karnataka, India",413,location
397,"Kalghatgi, Karnataka, India",413,location
398,"Kampli, Karnataka, India",413,location
399,"Kanakapura, Karnataka, India",413,location
400,"Karbi Anglong, Karnataka, India",413,location
401,"Karkal, Karnataka, India",413,location
402,"Karwar, Karnataka, India",413,location
403,"Khanapur, Karnataka, India",413,location
404,"Kittur, Karnataka, India",413,location
405,"Kodagu, Karnataka, India",413,location
406,"Kolar, Karnataka, India",413,location
407,"Kollegal, Karnataka, India",413,location
408,"Koppa, Karnataka, India",413,location
409,"Koppal, Karnataka, India",413,location
410,"Koratagere, Karnataka, India",413,location
411,"Krishnarajanagara, Karnataka, India",413,location
412,"Krishnarajpet, Karnataka, India",413,location
413,"Kudligi, Karnataka, India",413,location
414,"Kumta, Karnataka, India",413,location
415,"Kundapura, Karnataka, India",413,location
416,"Kundgol, Karnataka, India",413,location
417,"Kunigal, Karnataka, India",413,location
418,"Kushtagi, Karnataka, India",413,location
419,"Lingsugur, Karnataka, India",413,location
420,"Maddur, Karnataka, India",413,location
421,"Madhugiri, Karnataka, India",413,location
422,"Madikeri, Karnataka, India",413,location
423,"Magadi, Karnataka, India",413,location
424,"Malavalli, Karnataka, India",413,location
425,"Malur, Karnataka, India",413,location
426,"Mandya, Karnataka, India",413,location
